,노래 제목,가수명,song_id
0,I Miss You,소유 (SOYOU),30177818
1,어른,Sondia,30985406
2,잊지 말아요,백지영,2319548
3,첫눈처럼 너에게 가겠다,에일리(Ailee),30190630
4,첫 눈,정준일,30178900
5,마지막 너의 인사,헤이즈 (Heize),34907218
6,기억해 줘요,다비치,35044103
7,눈의 꽃,박효신,623902
8,이 사랑,다비치,8071102
9,들리나요...,태연 (TAEYEON),1928055
10,Beautiful,Crush,30157753
11,All With You,태연 (TAEYEON),9645607
12,그대란 정원,정은지,30273713
13,I Love You Boy,수지 (Suzy),30664017
14,내 맘을 볼 수 있나요,헤이즈 (Heize),31952592
15,사랑하게 될 줄 알았어,전미도,32614125
16,너에게 가는 이 길 위에서 (너.이.길),백현 (BAEKHYUN),32421335
17,너였다면,정승환,8203900
18,Who Are You,샘김 (Sam Kim),30169383
19,둘만의 세상으로 가,Crush,32364000
20,너를 사랑하고 있어,백현 (BAEKHYUN),32298623
21,그대라는 시,태연 (TAEYEON),31938460
22,아프다,지코 (ZICO),5731941
23,잘 지내요,정승환,31299371
24,사랑의 시작은 고백에서부터,김범수,5709750
25,기억해줘요 내 모든 날과 그때를,거미,31967064
26,소원,어반자카파,30191370
27,아직도 좋아해,양요섭,34520264
28,그리워 그리워서 (이영 Ver.),황치열,30041152
29,이별후회,김나영,34437341
30,너의 모든 순간,성시경,4446485
31,응급실,izi,686651
32,마음을 드려요,아이유,32378104
33,Goodbye,웬디 (WENDY),31403263
34,안녕,폴킴,31984204
35,서로의 눈물이 되어,효린,30193645
36,바람꽃,이선희,30153027
37,빛이 되어줄게,윤하 (YOUNHA),32082258
38,사랑해요,김범수,8298424
39,어느 날 우리,김필,33013550
40,My Way,이수 (엠씨더맥스),30721801
41,달에 지다,베이지,2539090
42,자꾸 더 보고싶은 사람,마마무 (Mamamoo),32335560
43,With You,린,8109957
44,함께 발을 맞춰 거닐던,시적화자,32544376
45,소리,이수현,31213910
46,U,백현 (BAEKHYUN),33521625
47,나를 잊지말아요,수지 (Suzy),4105693
48,그림자,휘인 (Whee In),30660684
49,아직 너의 시간에 살아,이수현,32769272
